Nachname;Vorname;Gender;Klasse;Birthday;Disziplin;Age
Schwartz;Manuela;female;;07.12.1998;Weitsprung;17
Abt;Anke;female;;09.09.1997;Weitsprung;18
Beckenbauer;Phillipp;male;;10/22/1997;Weitsprung;18
Feierabend;Frank;male;;05.09.2000;Weitsprung;15
Luft;Juliane;female;;06.02.2000;Hochsprung;15
Nadel;Jan;male;;6/27/2000;Weitsprung;15
Saenger;Christina;female;;6/25/1997;Hochsprung;18
Pfeffer;Marie;female;;10/17/1998;Hochsprung;17
Daecher;Wolfgang;male;;2/28/2001;Weitsprung;15
Furst;Dennis;male;;9/21/2001;Weitsprung;14
Schultheiss;Sophia;female;;6/27/2002;Weitsprung;13
Schreiber;Melanie;female;;03.02.2000;Weitsprung;16
Kastner;Sabrina;female;;10.03.2002;Weitsprung;13
Dresner;Andreas;male;;2/25/1998;Hochsprung;18
Dresner;Marie;female;;05.06.1997;Hochsprung;18
Theissen;Steffen;male;;9/18/2000;Weitsprung;15
Gerste;Wolfgang;male;;06.10.2000;Weitsprung;15
Bayer;Annett;female;;01.07.2000;Hochsprung;16
Bayer;Ulrich;male;;07.06.1998;Hochsprung;17
Kunze;Christian;male;;11/25/1998;Hochsprung;17
Moeller;Annett;female;;9/15/1997;Hochsprung;18
Neustadt;Marco;male;;12/21/2001;Weitsprung;14
Kuefer;Julia;female;;01.03.1998;Weitsprung;18
Frei;Frank;male;;05.10.1999;Hochsprung;16
Ostermann;Mike;male;;08.04.2000;Hochsprung;15
Seiler;Max;male;;6/23/1998;Weitsprung;17
Metzger;Monika;female;;12/22/1998;Hochsprung;17
Klug;Claudia;female;;3/15/2001;Weitsprung;14
Maur;Lena;female;;6/28/1999;Weitsprung;16
Farber;Erik;male;;10.07.1999;Hochsprung;16
Reinhardt;Benjamin;male;;10/19/1999;Weitsprung;16
Schuster;Jörg;male;;1/23/1998;Hochsprung;18
Abt;Leonie;female;;6/18/2001;Hochsprung;14
Wechsler;Ulrike;female;;03.07.1999;Weitsprung;16
Neustadt;Tanja;female;;1/17/1998;Weitsprung;18
Neustadt;Kathrin;female;;3/31/2000;Weitsprung;15
Koehler;Uwe;male;;1/24/2001;Weitsprung;15
Weisz;Julia;female;;1/18/2001;Weitsprung;15
Freitag;Jonas;male;;10/21/1998;Hochsprung;17
Boehm;Christian;male;;6/30/1998;Hochsprung;17
Bergmann;Karin;female;;3/13/1998;Hochsprung;17
Kaestner;Dominik;male;;10/28/1999;Hochsprung;16
Faerber;Robert;male;;2/21/1998;Weitsprung;18
Bergmann;Jennifer;female;;6/13/1997;Weitsprung;18
Kuester;Marco;male;;01.12.2000;Hochsprung;16
Baumgaertner;Dieter;male;;09.04.1998;Hochsprung;17
Kluge;Gabriele;female;;04.07.2000;Weitsprung;15
Kastner;Jennifer;female;;5/13/2002;Weitsprung;13
Gerste;Marina;female;;10/13/2000;Weitsprung;15
König;Uta;female;;04.04.2001;Hochsprung;14
Engel;Patrick;male;;10/18/1999;Weitsprung;16
Papst;Bernd;male;;2/27/2003;Weitsprung;13
Koertig;Christian;male;;7/17/1997;Weitsprung;18
Herrmann;Nadine;female;;07.04.2002;Weitsprung;13
Thalberg;Steffen;male;;5/14/1998;Hochsprung;17
Sommer;Juliane;female;;9/18/2001;Hochsprung;14
Pfeifer;Jonas;male;;7/24/2002;Weitsprung;13
Richter;Dirk;male;;08.07.1999;Weitsprung;16
Kuefer;Erik;male;;5/28/1997;Hochsprung;18
Himmel;Heike;female;;07.07.2002;Weitsprung;13
Boehm;Melanie;female;;6/26/2001;Weitsprung;14
Bürger;Jan;male;;05.01.1999;Hochsprung;16
Trommler;Ralf;male;;6/20/1999;Weitsprung;16
Friedman;Leah;female;;02.07.2001;Weitsprung;15
Daecher;Stefanie;female;;11/26/2001;Hochsprung;14
Strauss;Susanne;female;;1/15/2002;Weitsprung;14
Fried;Marcel;male;;7/25/1997;Hochsprung;18
Maur;Ursula;female;;9/13/2000;Weitsprung;15
Mehler;Leonie;female;;7/16/2001;Weitsprung;14
Austerlitz;Ralf;male;;2/19/1999;Hochsprung;17
Bergmann;Jörg;male;;8/16/2002;Weitsprung;13
Fiedler;Alexander;male;;10.02.2000;Hochsprung;15
Brandt;Lena;female;;11/24/2001;Weitsprung;14
Duerr;Barbara;female;;7/17/1998;Weitsprung;17
Grunwald;Barbara;female;;07.07.1999;Weitsprung;16
Wechsler;René;male;;12.07.1998;Weitsprung;17
Pfeffer;Michael;male;;7/24/1998;Weitsprung;17
Schweizer;Anja;female;;8/28/1997;Weitsprung;18
Köhler;Katrin;female;;08.06.2002;Weitsprung;13
Naumann;Peter;male;;10.10.1998;Hochsprung;17
Junker;Dominik;male;;2/17/2002;Hochsprung;14
Schulze;Peter;male;;4/24/2001;Weitsprung;14
Schwarz;Kristian;male;;08.11.1997;Hochsprung;18
Ostermann;Kerstin;female;;07.12.2000;Hochsprung;15
Köhler;Eric;male;;4/26/1999;Weitsprung;16
Zimmermann;Ines;female;;11.06.1998;Weitsprung;17
Urner;Christine;female;;12/23/1997;Weitsprung;18
Farber;Mario;male;;10/17/2001;Hochsprung;14
Bach;Marina;female;;11/26/1999;Weitsprung;16
Fischer;Christian;male;;6/27/1998;Hochsprung;17
Mauer;Melanie;female;;6/30/2002;Weitsprung;13
Herman;Phillipp;male;;4/13/2000;Weitsprung;15
Himmel;Lucas;male;;5/20/1997;Hochsprung;18
Strauss;Monika;female;;4/28/2001;Weitsprung;14
Werner;Monika;female;;10/21/1998;Weitsprung;17
Dresdner;Kristian;male;;03.12.1997;Hochsprung;18
Peters;Sarah;female;;5/14/2000;Weitsprung;15
Grunewald;Stephan;male;;5/16/2002;Weitsprung;13
Hertz;Christine;female;;12.06.2002;Weitsprung;13
Hoch;Lisa;female;;12/17/1998;Hochsprung;17
Kohl;Peter;male;;10/13/1997;Hochsprung;18
Weber;Ulrike;female;;11.03.1999;Hochsprung;16
Beike;Johanna;female;;9/26/2001;Weitsprung;14
Schuhmacher;Maria;female;;3/21/2000;Weitsprung;15
Kruger;Susanne;female;;7/18/1998;Weitsprung;17
Baecker;Brigitte;female;;5/13/1997;Hochsprung;18
Jaeger;Barbara;female;;8/23/2000;Hochsprung;15
Dresdner;Marko;male;;9/26/1999;Weitsprung;16
Barth;Kristin;female;;08.11.2001;Weitsprung;14
Beckenbauer;Jörg;male;;10/16/1999;Weitsprung;16
Schuhmacher;Anja;female;;06.02.2002;Weitsprung;13
Muller;Sophie;female;;5/31/1997;Weitsprung;18
Werner;Martina;female;;7/13/1999;Weitsprung;16
Vogel;Thomas;male;;03.06.2000;Weitsprung;16
Bach;Stephan;male;;09.03.2002;Weitsprung;13
Weiß;Ulrich;male;;7/25/1999;Hochsprung;16
Schuhmacher;Silke;female;;12.08.2001;Weitsprung;14
Daecher;Steffen;male;;7/24/2002;Weitsprung;13
Weisz;Ralf;male;;06.06.1997;Weitsprung;18
Hueber;Marina;female;;7/25/2000;Weitsprung;15
Vogler;Karin;female;;07.03.2002;Weitsprung;13
Mueller;Niklas;male;;8/18/1999;Weitsprung;16
Wolf;Andrea;female;;03.03.2001;Weitsprung;15
Bar;Manuela;female;;11/22/2001;Weitsprung;14
Krüger;Jan;male;;10/22/1997;Weitsprung;18
Oster;Kristian;male;;12/22/1998;Hochsprung;17
Müller;Mandy;female;;3/20/1999;Weitsprung;16
Wexler;Klaus;male;;11.11.1999;Weitsprung;16
Ebersbach;Sandra;female;;12.06.1997;Hochsprung;18
Klein;Alexander;male;;11/28/1997;Hochsprung;18
Loewe;Maximilian;male;;3/22/1998;Hochsprung;17
Eberhardt;Johanna;female;;09.02.2000;Hochsprung;15
Fuhrmann;Kristin;female;;10.04.2000;Weitsprung;15
Jung;Mario;male;;09.02.2001;Weitsprung;14
Baader;Phillipp;male;;08.07.2000;Weitsprung;15
Neudorf;Benjamin;male;;5/15/1998;Weitsprung;17
Hertz;Sabine;female;;8/25/2001;Weitsprung;14
Baier;Ursula;female;;12/24/1999;Weitsprung;16
Krause;Brigitte;female;;10/31/1999;Weitsprung;16
Hartmann;Juliane;female;;11.03.2000;Hochsprung;15
Fiedler;Nadine;female;;02.03.1999;Hochsprung;17
Frankfurter;Martin;male;;04.11.2000;Hochsprung;15
Pfeifer;Anna;female;;8/20/2001;Weitsprung;14
Klein;Jürgen;male;;11/19/2000;Weitsprung;15
Fruehauf;Niklas;male;;06.06.2000;Weitsprung;15
Dreher;Jörg;male;;05.02.2002;Weitsprung;13
Ebersbacher;Thorsten;male;;3/30/1998;Weitsprung;17
Aachen;Luca;male;;2/18/1999;Weitsprung;17
Weiss;Tom;male;;3/17/1998;Weitsprung;17
Koertig;Michael;male;;08.07.2000;Hochsprung;15
Koehler;Jan;male;;4/17/1999;Weitsprung;16
Schreiner;Ralf;male;;3/22/1998;Weitsprung;17
Eichmann;Doreen;female;;10.08.2002;Weitsprung;13
Weissmuller;Anke;female;;10/15/1997;Weitsprung;18
Frei;Christin;female;;10/27/1998;Weitsprung;17
Luft;Bernd;male;;4/21/1998;Weitsprung;17
Wechsler;Andrea;female;;9/26/2002;Weitsprung;13
Vogt;Dirk;male;;03.04.2001;Hochsprung;15
Dreher;Erik;male;;06.03.1997;Hochsprung;18
Fink;Marina;female;;12/18/1998;Hochsprung;17
Krause;Lena;female;;10.02.2001;Weitsprung;14
Lowe;Stephan;male;;4/20/2000;Weitsprung;15
Sanger;Markus;male;;09.01.2000;Weitsprung;15
Urner;Lukas;male;;9/27/2001;Weitsprung;14
Farber;Angelika;female;;04.09.2001;Weitsprung;14
Nadel;Anne;female;;01.10.2002;Weitsprung;14
Ostermann;Uta;female;;2/16/1998;Hochsprung;18
Mauer;Dominik;male;;5/14/2001;Weitsprung;14
Becker;Frank;male;;12/31/2001;Weitsprung;14
Bauer;Jonas;male;;11/27/2000;Hochsprung;15
Peters;Birgit;female;;9/13/1998;Hochsprung;17
Schneider;Ralph;male;;10/16/2002;Weitsprung;13
Finkel;Stefanie;female;;12.11.1998;Weitsprung;17
Schuster;Katja;female;;11/19/2002;Weitsprung;13
Meier;Vanessa;female;;3/13/1999;Hochsprung;16
Gaertner;Angelika;female;;6/19/1998;Hochsprung;17
Papst;Thorsten;male;;5/16/2000;Weitsprung;15
Bar;Silke;female;;04.04.1999;Weitsprung;16
Metzger;Maik;male;;8/18/2000;Weitsprung;15
Weiß;Erik;male;;4/20/1999;Hochsprung;16
Schweizer;Marcel;male;;01.05.2000;Weitsprung;16
Ostermann;Torsten;male;;6/26/1997;Weitsprung;18
Meister;Martin;male;;5/15/1997;Hochsprung;18
Eichel;Michelle;female;;01.10.2002;Weitsprung;14
Koch;Dennis;male;;7/27/1998;Hochsprung;17
Durr;Jens;male;;11/20/1998;Weitsprung;17
Schwab;Katja;female;;5/26/1999;Weitsprung;16
Krause;Maria;female;;3/18/1999;Weitsprung;16
Kortig;Stephanie;female;;12/14/2001;Weitsprung;14
Wechsler;Ute;female;;12/28/1997;Weitsprung;18
Schuhmacher;Robert;male;;01.08.2001;Weitsprung;15
Ebersbach;Petra;female;;09.04.2001;Weitsprung;14
Gärtner;Katja;female;;02.04.1999;Weitsprung;17
Schultz;Bernd;male;;01.12.2001;Weitsprung;15
Kohl;Barbara;female;;03.03.2000;Hochsprung;16
Probst;Thomas;male;;9/15/2001;Weitsprung;14
Bosch;Matthias;male;;6/18/2000;Weitsprung;15
Beich;Martin;male;;11.07.2001;Weitsprung;14
Eberhart;Jessica;female;;1/30/2000;Hochsprung;16
Holtzmann;Mandy;female;;01.03.1998;Weitsprung;18
Richter;Mario;male;;9/14/2000;Weitsprung;15
Strauss;Stefan;male;;9/24/1998;Hochsprung;17
Kastner;Birgit;female;;11/28/1998;Hochsprung;17
Fisher;Sabrina;female;;07.10.2002;Weitsprung;13
Friedman;Stefanie;female;;12/17/1999;Weitsprung;16
Achen;Dieter;male;;11/28/2000;Weitsprung;15
Bürger;Doreen;female;;12.12.1999;Hochsprung;16
Peters;Jonas;male;;12/18/2002;Weitsprung;13
Bayer;Luca;male;;6/21/2000;Hochsprung;15
Oster;Monika;female;;4/30/1999;Weitsprung;16
Weisz;René;male;;05.04.2001;Weitsprung;14
Pfeffer;Martin;male;;04.07.2002;Weitsprung;13
Freud;Ines;female;;2/26/1998;Hochsprung;18
Schiffer;Lukas;male;;11/20/1997;Weitsprung;18
Lehrer;Klaudia;female;;12.03.1998;Hochsprung;17
Fenstermacher;Nicole;female;;09.08.2002;Weitsprung;13
Schaefer;Sophia;female;;8/29/1999;Weitsprung;16
Bayer;Tobias;male;;09.05.1997;Weitsprung;18
Ziegler;Leah;female;;02.12.2001;Weitsprung;15
Strauss;Robert;male;;4/17/1999;Weitsprung;16
Schroeder;Stefan;male;;05.11.2001;Weitsprung;14
Meier;Eric;male;;11/16/2002;Weitsprung;13
Krueger;Sabine;female;;05.02.2002;Weitsprung;13
Faust;Sophia;female;;6/18/1998;Weitsprung;17
Gärtner;Nadine;female;;4/18/2001;Weitsprung;14
Kappel;Benjamin;male;;7/27/2002;Weitsprung;13
Neudorf;Patrick;male;;5/15/2002;Weitsprung;13
Saenger;Karolin;female;;12/23/2002;Weitsprung;13
Maier;Jörg;male;;01.07.2002;Hochsprung;14
Walter;Stefan;male;;9/23/2001;Weitsprung;14
Wagner;Marko;male;;2/24/1998;Weitsprung;18
Rothschild;Marco;male;;05.11.1998;Weitsprung;17
Diederich;Jessika;female;;08.04.1997;Weitsprung;18
Wannemaker;Martin;male;;9/13/1997;Hochsprung;18
Schäfer;Martina;female;;4/17/1998;Weitsprung;17
Friedman;Torsten;male;;11.09.2001;Weitsprung;14
Pfeifer;Sophie;female;;6/14/2001;Weitsprung;14
Wagner;Ralph;male;;11.07.1999;Weitsprung;16
Schwab;Martin;male;;09.03.2000;Weitsprung;15
Drescher;Marco;male;;02.01.2001;Weitsprung;15
Krüger;Matthias;male;;3/23/2000;Hochsprung;15
Ebersbacher;Gabriele;female;;11.08.1999;Hochsprung;16
Himmel;Sarah;female;;4/27/1999;Weitsprung;16
Freeh;Thorsten;male;;11.11.1998;Hochsprung;17
Bayer;Anja;female;;4/24/2000;Weitsprung;15
Kastner;Luca;male;;01.06.1999;Weitsprung;17
Fisher;Swen;male;;10/13/2001;Weitsprung;14
Maur;Frank;male;;07.05.1997;Hochsprung;18
Klug;Niklas;male;;7/25/1998;Hochsprung;17
Hoch;Jonas;male;;5/13/1999;Hochsprung;16
Drescher;Doreen;female;;12/26/1998;Hochsprung;17
Nacht;Maximilian;male;;07.02.2000;Hochsprung;15
Eisenhower;Matthias;male;;1/15/2002;Weitsprung;14
Huber;Leon;male;;12.10.2002;Weitsprung;13
Gottlieb;Leah;female;;2/16/2001;Weitsprung;15
Feierabend;Paul;male;;3/13/1997;Hochsprung;18
Wannemaker;Lukas;male;;04.06.1998;Hochsprung;17
Schneider;Birgit;female;;10/16/1997;Weitsprung;18
Schäfer;Sandra;female;;2/19/2001;Weitsprung;15
Fuchs;Ulrike;female;;06.08.1999;Weitsprung;16
Zimmermann;Lena;female;;7/29/2000;Weitsprung;15
Kalb;Maximilian;male;;08.05.2002;Weitsprung;13
Pfeffer;Mario;male;;6/15/2000;Hochsprung;15
Koch;Christine;female;;12/20/1998;Hochsprung;17
Kaestner;Stephan;male;;6/20/1999;Weitsprung;16
Kuster;Klaus;male;;05.12.1999;Hochsprung;16
Roth;Mathias;male;;8/13/1999;Weitsprung;16
Wagner;Heike;female;;10.01.2000;Hochsprung;15
Saenger;Mario;male;;05.11.1997;Hochsprung;18
Goldschmidt;Franziska;female;;12/19/2001;Weitsprung;14
Bayer;Nicole;female;;04.01.2000;Weitsprung;15
Faber;Marie;female;;12/18/1997;Hochsprung;18
Neudorf;Juliane;female;;11.01.2000;Weitsprung;15
Wannemaker;René;male;;3/19/2000;Hochsprung;15
Fruehauf;Klaus;male;;07.05.1997;Weitsprung;18
Hartmann;Jennifer;female;;06.11.2000;Weitsprung;15
Eichelberger;Johanna;female;;11/26/1998;Weitsprung;17
Maur;Birgit;female;;03.02.1998;Weitsprung;18
Baecker;Felix;male;;07.03.2002;Weitsprung;13
Bauer;Juliane;female;;3/19/1997;Weitsprung;18
Schmid;Tom;male;;6/16/2000;Hochsprung;15
Junker;Marcel;male;;05.06.2001;Weitsprung;14
Kuhn;Christina;female;;12/18/1998;Hochsprung;17
Reinhard;Frank;male;;6/17/2001;Weitsprung;14
Theissen;Jessika;female;;7/23/2001;Weitsprung;14
Brauer;Jonas;male;;8/18/1997;Weitsprung;18
Muller;Daniela;female;;09.05.2002;Weitsprung;13
Grunewald;Laura;female;;4/14/1998;Weitsprung;17
Egger;Dennis;male;;09.05.1997;Weitsprung;18
Neudorf;Patrick;male;;4/22/2000;Weitsprung;15
Pfaff;Jan;male;;6/29/2002;Weitsprung;13
Mauer;Manuela;female;;04.12.1997;Hochsprung;18
Loewe;Tanja;female;;5/18/2001;Weitsprung;14
Duerr;Benjamin;male;;5/21/2000;Hochsprung;15
Herzog;Stephan;male;;8/29/1998;Hochsprung;17
Hirsch;Niklas;male;;11/15/1999;Hochsprung;16
Müller;Franziska;female;;12.07.1997;Hochsprung;18
Hahn;Wolfgang;male;;10.12.2000;Weitsprung;15
Weissmuller;Uwe;male;;10/14/2002;Weitsprung;13
Holtzmann;Leon;male;;5/19/2000;Weitsprung;15
Maier;Mario;male;;08.06.1998;Hochsprung;17
Hueber;Janina;female;;9/17/2001;Weitsprung;14
Biermann;Ursula;female;;12.09.1999;Hochsprung;16
Wagner;Ines;female;;2/25/1998;Weitsprung;18
Keller;Ralph;male;;04.09.2000;Weitsprung;15
Theiss;Dieter;male;;09.01.2001;Weitsprung;14
Propst;Sarah;female;;1/15/2001;Hochsprung;15
Ackermann;Bernd;male;;05.03.1999;Weitsprung;16
Decker;Lukas;male;;10/25/2001;Hochsprung;14
Propst;Ralf;male;;3/19/1997;Hochsprung;18
Lang;Franziska;female;;7/21/1999;Hochsprung;16
Shuster;Mike;male;;04.08.2001;Weitsprung;14
Schmid;Katrin;female;;10/14/2002;Weitsprung;13
Fuerst;Klaus;male;;12/14/1998;Hochsprung;17
Frey;Anne;female;;10.01.1997;Weitsprung;18
Freitag;Leah;female;;7/14/1998;Hochsprung;17
Zweig;Niklas;male;;01.06.2000;Weitsprung;16
Hofmann;Jürgen;male;;2/13/2000;Hochsprung;16
Osterhagen;Susanne;female;;5/16/1999;Hochsprung;16
Naumann;Christian;male;;12/27/1999;Weitsprung;16
Ostermann;Anke;female;;12.06.1999;Weitsprung;16
Freitag;Ute;female;;12/15/1999;Weitsprung;16
Cole;Ralph;male;;5/24/1999;Weitsprung;16
Wagner;Jan;male;;11/17/1998;Weitsprung;17
Jaeger;Heike;female;;1/27/2003;Weitsprung;13
Fassbinder;Claudia;female;;9/17/2000;Weitsprung;15
Wirth;Jennifer;female;;03.04.2003;Weitsprung;13
Frey;Ute;female;;10.11.1997;Weitsprung;18
Durr;Marina;female;;1/16/2003;Weitsprung;13
Fruehauf;Lena;female;;10/13/2002;Weitsprung;13
Abt;Lucas;male;;6/21/1999;Hochsprung;16
Bauer;Jürgen;male;;08.04.1998;Hochsprung;17
Hofmann;Anna;female;;5/24/1999;Weitsprung;16
Köhler;Doreen;female;;07.02.2000;Hochsprung;15
Gärtner;Katrin;female;;3/31/1998;Hochsprung;17
Meister;Tobias;male;;08.08.2000;Hochsprung;15
Freud;Susanne;female;;07.04.1997;Hochsprung;18
Engel;Florian;male;;05.02.2000;Weitsprung;15
Nacht;Mathias;male;;08.09.1998;Hochsprung;17
Schultz;Franziska;female;;1/27/2003;Hochsprung;13
Richter;Jessika;female;;8/25/2002;Weitsprung;13
Eberhart;Jürgen;male;;07.01.1997;Weitsprung;18
Eisenberg;Tobias;male;;01.06.2001;Weitsprung;15
Huber;Klaus;male;;09.11.1999;Weitsprung;16
Waechter;Juliane;female;;05.06.1997;Hochsprung;18
Engel;Angelika;female;;4/26/2000;Weitsprung;15
Weiß;Jörg;male;;04.01.2000;Weitsprung;15
Beich;Johanna;female;;10.06.2001;Weitsprung;14
Friedmann;Matthias;male;;2/24/2001;Weitsprung;15
Ostermann;Stephan;male;;6/13/1997;Hochsprung;18
Schmid;Johanna;female;;11.10.1998;Hochsprung;17
Fisher;Torsten;male;;5/27/1998;Weitsprung;17
Beckenbauer;Phillipp;male;;11.06.1997;Hochsprung;18
Walter;Nadine;female;;07.06.2001;Weitsprung;14
Feierabend;Niklas;male;;3/28/1998;Hochsprung;17
Schmitt;Thomas;male;;1/15/2000;Weitsprung;16
Propst;Patrick;male;;06.09.1998;Hochsprung;17
Bauer;Bernd;male;;8/25/2000;Weitsprung;15
Duerr;Dominik;male;;9/26/1998;Weitsprung;17
Lang;Jens;male;;9/19/2000;Weitsprung;15
Egger;Paul;male;;12.11.1997;Hochsprung;18
Schneider;Katrin;female;;9/29/2000;Weitsprung;15
Ostermann;Ulrich;male;;5/29/1998;Hochsprung;17
Amsel;Leah;female;;7/21/1999;Weitsprung;16
Foerster;Stefan;male;;6/20/2000;Weitsprung;15
Vogt;Nicole;female;;11.01.1999;Weitsprung;16
Nussbaum;Klaudia;female;;06.10.1997;Hochsprung;18
Faerber;Lena;female;;01.11.2003;Weitsprung;13
Faerber;Tom;male;;07.02.2001;Weitsprung;14
Fenstermacher;Frank;male;;1/25/2001;Weitsprung;15
Möller;Andreas;male;;01.06.2002;Weitsprung;14
Brauer;Tom;male;;2/28/1998;Hochsprung;18
Boehm;Leon;male;;11.01.1999;Hochsprung;16
Pfeiffer;Katharina;female;;3/14/1999;Hochsprung;16
Busch;Michelle;female;;11.12.1999;Hochsprung;16
Ackermann;Philipp;male;;11.02.2000;Weitsprung;15
Jaeger;Ulrike;female;;10/15/2001;Weitsprung;14
Hertz;Michelle;female;;12/27/1999;Weitsprung;16
Klein;Johanna;female;;3/29/1997;Weitsprung;18
Peters;Felix;male;;11.07.1998;Weitsprung;17
Schreiber;Melanie;female;;01.07.1998;Hochsprung;18
Wagner;Stefanie;female;;2/26/2002;Weitsprung;14
Freytag;Mathias;male;;04.09.2001;Weitsprung;14
Kaufmann;Janina;female;;7/30/1998;Hochsprung;17
Brandt;Marie;female;;07.01.1998;Hochsprung;17
Koertig;Tim;male;;5/16/2000;Hochsprung;15
Schuhmacher;Torsten;male;;5/13/1999;Weitsprung;16
Eiffel;Birgit;female;;06.07.1997;Weitsprung;18
Schroder;Dirk;male;;10/21/2001;Weitsprung;14
Junker;Anja;female;;10.12.1999;Weitsprung;16
Schiffer;Frank;male;;01.08.1998;Hochsprung;18
Wechsler;Paul;male;;03.09.2000;Weitsprung;15
Gottlieb;Yvonne;female;;4/30/2001;Weitsprung;14
Beckenbauer;Florian;male;;8/26/1999;Weitsprung;16
Bauer;Uwe;male;;10.10.1998;Hochsprung;17
Pfeiffer;Dennis;male;;3/23/1997;Hochsprung;18
Müller;Jürgen;male;;3/13/2000;Weitsprung;15
Vogler;Katja;female;;08.04.2001;Weitsprung;14
Weiss;Silke;female;;12.12.2001;Weitsprung;14
Daecher;Christina;female;;2/24/1999;Weitsprung;17
Berg;Uta;female;;3/19/2000;Weitsprung;15
Roth;Swen;male;;9/18/2000;Hochsprung;15
Zimmerman;Frank;male;;09.09.2000;Hochsprung;15
Klug;Peter;male;;3/25/1998;Weitsprung;17
Baumgaertner;Jonas;male;;4/29/2000;Weitsprung;15
Wurfel;Tanja;female;;3/13/2001;Weitsprung;14
Berg;Nadine;female;;08.06.2000;Weitsprung;15
Hofmann;Sandra;female;;11/28/2001;Weitsprung;14
Faber;Annett;female;;5/21/1998;Hochsprung;17
Fuhrmann;Robert;male;;03.11.1999;Hochsprung;16
Baer;Steffen;male;;3/20/1999;Hochsprung;16
Frey;Max;male;;03.07.1997;Hochsprung;18
Mauer;Philipp;male;;9/25/1999;Weitsprung;16
Beyer;Sara;female;;11/28/1997;Weitsprung;18
Schmitz;Sabrina;female;;8/18/1997;Hochsprung;18
Bayer;Lena;female;;11/22/1997;Hochsprung;18
Herz;Tanja;female;;04.10.2002;Weitsprung;13
Gruenewald;Klaus;male;;11/15/1997;Hochsprung;18
Goldschmidt;Christian;male;;6/28/1998;Hochsprung;17
Fassbinder;Stephan;male;;4/24/1997;Weitsprung;18
Burger;Manuela;female;;10.02.1999;Weitsprung;16
Baer;Paul;male;;10/31/2000;Hochsprung;15
Diederich;Jana;female;;6/23/1999;Hochsprung;16
Mauer;Anja;female;;8/22/1999;Weitsprung;16
Saenger;Brigitte;female;;7/15/1997;Weitsprung;18
Krause;Ulrike;female;;10/30/2002;Weitsprung;13
Kuefer;Sebastian;male;;12/19/1999;Hochsprung;16
Zimmer;Lena;female;;12.03.1999;Hochsprung;16
Bauer;Phillipp;male;;04.05.2002;Weitsprung;13
Faber;Gabriele;female;;11.03.1998;Weitsprung;17
Bachmeier;Mario;male;;03.04.2000;Weitsprung;16
Koenig;Angelika;female;;7/14/2002;Weitsprung;13
Faerber;Andreas;male;;04.12.2001;Weitsprung;14
Lehrer;Jana;female;;04.12.2000;Hochsprung;15
Baumgaertner;Christin;female;;03.09.2002;Weitsprung;13
Schäfer;Erik;male;;9/16/2000;Hochsprung;15
Freytag;Jennifer;female;;11.07.2000;Weitsprung;15
Herman;Sabrina;female;;8/18/2000;Weitsprung;15
Gottschalk;Uta;female;;08.08.2000;Weitsprung;15
Saenger;Kevin;male;;8/17/2001;Weitsprung;14
Kortig;Susanne;female;;4/24/1999;Weitsprung;16
Fischer;Christina;female;;06.12.2001;Weitsprung;14
Lange;Benjamin;male;;08.11.1998;Weitsprung;17
Mauer;Manuela;female;;08.05.2002;Hochsprung;13
Kalb;Manuela;female;;7/18/2001;Weitsprung;14
Lang;Florian;male;;5/25/1999;Hochsprung;16
Bader;Claudia;female;;12/27/2000;Weitsprung;15
Scherer;Barbara;female;;10/14/2002;Hochsprung;13
Propst;Gabriele;female;;7/19/2001;Weitsprung;14
Papst;Bernd;male;;7/20/1997;Weitsprung;18
Wirth;Dennis;male;;11.11.2001;Weitsprung;14
Shuster;Klaus;male;;11.08.1999;Weitsprung;16
Müller;Mario;male;;5/17/1998;Hochsprung;17
Eberhardt;Bernd;male;;1/28/1999;Hochsprung;17
Mehler;Claudia;female;;07.10.1999;Weitsprung;16
Hertzog;Dominik;male;;01.09.2000;Weitsprung;16
Frueh;Anne;female;;4/14/2001;Weitsprung;14
Fleischer;Dieter;male;;05.04.1999;Weitsprung;16
Hartmann;Lea;female;;03.02.2003;Weitsprung;13
Vogt;Kerstin;female;;10/27/2002;Weitsprung;13
Meier;Eric;male;;2/13/1998;Hochsprung;18
Weissmuller;Klaus;male;;9/22/1997;Hochsprung;18
Möller;Julia;female;;4/19/1999;Weitsprung;16
Schreiner;Franziska;female;;5/14/1997;Hochsprung;18
Engel;René;male;;8/23/1999;Weitsprung;16
Hahn;Janina;female;;1/15/2001;Weitsprung;15
Jung;David;male;;3/29/1999;Weitsprung;16
Fried;Diana;female;;4/23/1999;Weitsprung;16
Kuster;Stefanie;female;;8/22/2001;Weitsprung;14
Busch;Heike;female;;4/15/1998;Hochsprung;17
Pfaff;Julia;female;;1/28/1998;Weitsprung;18
Eichel;Stefan;male;;4/21/2001;Weitsprung;14
Ackermann;Dieter;male;;4/30/1999;Hochsprung;16
Schultheiss;Jürgen;male;;9/13/2002;Weitsprung;13
Friedmann;Katharina;female;;5/13/1998;Hochsprung;17
Finkel;Jan;male;;4/28/1999;Hochsprung;16
Kuhn;Silke;female;;10/16/2002;Weitsprung;13
Neumann;Daniela;female;;12/19/1999;Hochsprung;16
Saenger;Brigitte;female;;6/15/1998;Hochsprung;17
Köhler;Bernd;male;;11/19/2000;Weitsprung;15
Waechter;Jonas;male;;4/28/1999;Hochsprung;16
Abt;Sophie;female;;9/26/2000;Hochsprung;15
