Nachname;Vorname;Klasse;Gender;Birthday;Hochsprung;Weitsprung;Age;Kugelstossen;;
Kruger;Christine;;female;9/25/2002;;x;13;Weitsprung;;
Papst;Silke;;female;7/13/1999;;x;16;Weitsprung;;
Weisz;Jens;;male;7/18/2001;x;;14;Hochsprung;;
Kastner;Christian;;male;12/14/1998;;x;17;Weitsprung;;
Bürger;Dominik;;male;07.04.2002;;x;13;Weitsprung;;
Beyer;Ulrike;;female;1/26/2002;;x;14;Weitsprung;;
Waechter;Sophie;;female;11/30/1997;x;;18;Hochsprung;;
Boehm;Marie;;female;08.04.2000;;x;15;Weitsprung;;
Mueller;Stephan;;male;12/18/1997;;x;18;Weitsprung;;
Beich;Ines;;female;11.07.1999;;x;16;Weitsprung;;
Jung;Mandy;;female;10/26/1998;;x;17;Weitsprung;;
Freitag;Lisa;;female;4/29/1997;x;;18;Hochsprung;;
Theissen;Benjamin;;male;10.06.1997;;x;18;Weitsprung;;
Kaufmann;Ralph;;male;03.09.2002;x;;13;Hochsprung;;
Mauer;Tim;;male;5/27/1998;x;;17;Hochsprung;;
Mauer;Barbara;;female;02.09.1999;;x;17;Weitsprung;;
Kastner;Jennifer;;female;3/13/1998;x;;17;Hochsprung;;
Schreiner;Karin;;female;1/28/2001;;x;15;Weitsprung;;
Kunze;Jörg;;male;09.11.1998;x;;17;Hochsprung;;
Köhler;Christina;;female;3/23/2002;;x;13;Weitsprung;;
Busch;Jana;;female;1/20/2000;x;;16;Hochsprung;;
Papst;Barbara;;female;05.03.1997;x;;18;Hochsprung;;
Gersten;Daniel;;male;02.02.2003;x;;13;Hochsprung;;
Eisenhauer;Lena;;female;3/24/2000;;x;15;Weitsprung;;
Grunwald;Monika;;female;12/22/2002;;x;13;Weitsprung;;
Eberhardt;Maik;;male;8/17/2001;;x;14;Weitsprung;;
Brandt;Sabine;;female;7/14/1998;x;;17;Hochsprung;;
Maier;Marko;;male;08.04.1999;;x;16;Weitsprung;;
Zweig;Jana;;female;6/27/1999;x;;16;Hochsprung;;
Wulf;Diana;;female;10/17/1998;;x;17;Weitsprung;;
Traugott;Maria;;female;6/13/2001;;x;14;Weitsprung;;
Jaeger;Kevin;;male;4/19/1997;x;;18;Hochsprung;;
Pfaff;Frank;;male;2/17/1999;;x;17;Weitsprung;;
Jager;Sebastian;;male;10.10.1998;;x;17;Weitsprung;;
Kuefer;Martina;;female;3/17/2001;;x;14;Weitsprung;;
Waechter;Lukas;;male;12/31/2001;;x;14;Weitsprung;;
Meier;Tom;;male;11/15/2001;;x;14;Weitsprung;;
Hoch;Uta;;female;9/23/2000;;x;15;Weitsprung;;
Kalb;Andreas;;male;3/29/1999;;x;16;Weitsprung;;
Beckenbauer;Karin;;female;3/24/1999;;x;16;Weitsprung;;
Vogel;Heike;;female;1/14/1999;x;;17;Hochsprung;;
Herrmann;Luca;;male;07.05.1997;;x;18;Weitsprung;;
Vogel;Andrea;;female;10/17/1998;;x;17;Weitsprung;;
Abt;Luca;;male;04.11.2001;;x;14;Weitsprung;;
Schulze;Wolfgang;;male;03.09.1997;x;;18;Hochsprung;;
Fisher;Tom;;male;2/14/2003;;x;13;Weitsprung;;
Amsel;Marcel;;male;11.11.1999;x;;16;Hochsprung;;
Gruenewald;Paul;;male;11.09.1998;;x;17;Weitsprung;;
Herman;Florian;;male;10.10.1997;x;;18;Hochsprung;;
Naumann;Petra;;female;10/26/1998;x;;17;Hochsprung;;
Kortig;Jürgen;;male;11/27/2002;;x;13;Weitsprung;;
Jung;Katharina;;female;10.07.1998;x;;17;Hochsprung;;
Berg;Steffen;;male;9/15/1999;x;;16;Hochsprung;;
Engel;Luca;;male;7/16/1997;;x;18;Weitsprung;;
Propst;Lea;;female;7/13/1998;x;;17;Hochsprung;;
Berg;Diana;;female;02.03.2000;x;;16;Hochsprung;;
Lemann;Klaudia;;female;01.12.2003;;x;13;Weitsprung;;
Mueller;Wolfgang;;male;03.05.1998;x;;18;Hochsprung;;
Berg;Yvonne;;female;1/22/2002;;x;14;Weitsprung;;
Peters;Jessica;;female;07.01.2002;;x;13;Weitsprung;;
Mehler;Janina;;female;11/15/2001;;x;14;Weitsprung;;
Holzman;Mandy;;female;8/22/2000;;x;15;Weitsprung;;
Oster;Sara;;female;06.05.1999;;x;16;Weitsprung;;
Gersten;Stephanie;;female;03.07.2000;;x;15;Weitsprung;;
Engel;Dirk;;male;07.12.2000;;x;15;Weitsprung;;
Ritter;Manuela;;female;5/26/2001;;x;14;Weitsprung;;
Wirtz;Frank;;male;11/19/2001;;x;14;Weitsprung;;
Aachen;Sven;;male;02.12.2001;x;;15;Hochsprung;;
Kalb;Dominik;;male;4/27/2000;;x;15;Weitsprung;;
Dietrich;Monika;;female;08.03.1997;;x;18;Weitsprung;;
Kohl;Matthias;;male;08.02.2000;;x;15;Weitsprung;;
Herz;Markus;;male;01.08.2003;;x;13;Weitsprung;;
Schwartz;Manuela;;female;07.12.1998;;x;17;Weitsprung;;
Abt;Anke;;female;09.09.1997;;x;18;Weitsprung;;
Beckenbauer;Phillipp;;male;10/22/1997;;x;18;Weitsprung;;
Feierabend;Frank;;male;05.09.2000;;x;15;Weitsprung;;
Luft;Juliane;;female;06.02.2000;x;;15;Hochsprung;;
Nadel;Jan;;male;6/27/2000;;x;15;Weitsprung;;
Saenger;Christina;;female;6/25/1997;x;;18;Hochsprung;;
Pfeffer;Marie;;female;10/17/1998;x;;17;Hochsprung;;
Daecher;Wolfgang;;male;2/28/2001;;x;15;Weitsprung;;
Furst;Dennis;;male;9/21/2001;;x;14;Weitsprung;;
Schultheiss;Sophia;;female;6/27/2002;;x;13;Weitsprung;;
Schreiber;Melanie;;female;03.02.2000;;x;16;Weitsprung;;
Kastner;Sabrina;;female;10.03.2002;;x;13;Weitsprung;;
Dresner;Andreas;;male;2/25/1998;x;;18;Hochsprung;;
Dresner;Marie;;female;05.06.1997;x;;18;Hochsprung;;
Theissen;Steffen;;male;9/18/2000;;x;15;Weitsprung;;
Gerste;Wolfgang;;male;06.10.2000;;x;15;Weitsprung;;
Bayer;Annett;;female;01.07.2000;x;;16;Hochsprung;;
Bayer;Ulrich;;male;07.06.1998;x;;17;Hochsprung;;
Kunze;Christian;;male;11/25/1998;x;;17;Hochsprung;;
Moeller;Annett;;female;9/15/1997;x;;18;Hochsprung;;
Neustadt;Marco;;male;12/21/2001;;x;14;Weitsprung;;
Kuefer;Julia;;female;01.03.1998;;x;18;Weitsprung;;
Frei;Frank;;male;05.10.1999;x;;16;Hochsprung;;
Ostermann;Mike;;male;08.04.2000;x;;15;Hochsprung;;
Seiler;Max;;male;6/23/1998;;x;17;Weitsprung;;
Metzger;Monika;;female;12/22/1998;x;;17;Hochsprung;;
Klug;Claudia;;female;3/15/2001;;x;14;Weitsprung;;
Maur;Lena;;female;6/28/1999;;x;16;Weitsprung;;
Farber;Erik;;male;10.07.1999;x;;16;Hochsprung;;
Reinhardt;Benjamin;;male;10/19/1999;;x;16;Weitsprung;;
Schuster;Jörg;;male;1/23/1998;x;;18;Hochsprung;;
Abt;Leonie;;female;6/18/2001;x;;14;Hochsprung;;
Wechsler;Ulrike;;female;03.07.1999;;x;16;Weitsprung;;
Neustadt;Tanja;;female;1/17/1998;;x;18;Weitsprung;;
Neustadt;Kathrin;;female;3/31/2000;;x;15;Weitsprung;;
Koehler;Uwe;;male;1/24/2001;;x;15;Weitsprung;;
Weisz;Julia;;female;1/18/2001;;x;15;Weitsprung;;
Freitag;Jonas;;male;10/21/1998;x;;17;Hochsprung;;
Boehm;Christian;;male;6/30/1998;x;;17;Hochsprung;;
Bergmann;Karin;;female;3/13/1998;x;;17;Hochsprung;;
Kaestner;Dominik;;male;10/28/1999;x;;16;Hochsprung;;
Faerber;Robert;;male;2/21/1998;;x;18;Weitsprung;;
Bergmann;Jennifer;;female;6/13/1997;;x;18;Weitsprung;;
Kuester;Marco;;male;01.12.2000;x;;16;Hochsprung;;
Baumgaertner;Dieter;;male;09.04.1998;x;;17;Hochsprung;;
Kluge;Gabriele;;female;04.07.2000;;x;15;Weitsprung;;
Kastner;Jennifer;;female;5/13/2002;;x;13;Weitsprung;;
Gerste;Marina;;female;10/13/2000;;x;15;Weitsprung;;
König;Uta;;female;04.04.2001;x;;14;Hochsprung;;
Engel;Patrick;;male;10/18/1999;;x;16;Weitsprung;;
Papst;Bernd;;male;2/27/2003;;x;13;Weitsprung;;
Koertig;Christian;;male;7/17/1997;;x;18;Weitsprung;;
Herrmann;Nadine;;female;07.04.2002;;x;13;Weitsprung;;
Thalberg;Steffen;;male;5/14/1998;x;;17;Hochsprung;;
Sommer;Juliane;;female;9/18/2001;x;;14;Hochsprung;;
Pfeifer;Jonas;;male;7/24/2002;;x;13;Weitsprung;;
Richter;Dirk;;male;08.07.1999;;x;16;Weitsprung;;
Kuefer;Erik;;male;5/28/1997;x;;18;Hochsprung;;
Himmel;Heike;;female;07.07.2002;;x;13;Weitsprung;;
Boehm;Melanie;;female;6/26/2001;;x;14;Weitsprung;;
Bürger;Jan;;male;05.01.1999;x;;16;Hochsprung;;
Trommler;Ralf;;male;6/20/1999;;x;16;Weitsprung;;
Friedman;Leah;;female;02.07.2001;;x;15;Weitsprung;;
Daecher;Stefanie;;female;11/26/2001;x;;14;Hochsprung;;
Strauss;Susanne;;female;1/15/2002;;x;14;Weitsprung;;
Fried;Marcel;;male;7/25/1997;x;;18;Hochsprung;;
Maur;Ursula;;female;9/13/2000;;x;15;Weitsprung;;
Mehler;Leonie;;female;7/16/2001;;x;14;Weitsprung;;
Austerlitz;Ralf;;male;2/19/1999;x;;17;Hochsprung;;
Bergmann;Jörg;;male;8/16/2002;;x;13;Weitsprung;;
Fiedler;Alexander;;male;10.02.2000;x;;15;Hochsprung;;
Brandt;Lena;;female;11/24/2001;;x;14;Weitsprung;;
Duerr;Barbara;;female;7/17/1998;;x;17;Weitsprung;;
Grunwald;Barbara;;female;07.07.1999;;x;16;Weitsprung;;
Wechsler;René;;male;12.07.1998;;x;17;Weitsprung;;
Pfeffer;Michael;;male;7/24/1998;;x;17;Weitsprung;;
Schweizer;Anja;;female;8/28/1997;;x;18;Weitsprung;;
Köhler;Katrin;;female;08.06.2002;;x;13;Weitsprung;;
Naumann;Peter;;male;10.10.1998;x;;17;Hochsprung;;
Junker;Dominik;;male;2/17/2002;x;;14;Hochsprung;;
Schulze;Peter;;male;4/24/2001;;x;14;Weitsprung;;
Schwarz;Kristian;;male;08.11.1997;x;;18;Hochsprung;;
Ostermann;Kerstin;;female;07.12.2000;x;;15;Hochsprung;;
Köhler;Eric;;male;4/26/1999;;x;16;Weitsprung;;
Zimmermann;Ines;;female;11.06.1998;;x;17;Weitsprung;;
Urner;Christine;;female;12/23/1997;;x;18;Weitsprung;;
Farber;Mario;;male;10/17/2001;x;;14;Hochsprung;;
Bach;Marina;;female;11/26/1999;;x;16;Weitsprung;;
Fischer;Christian;;male;6/27/1998;x;;17;Hochsprung;;
Mauer;Melanie;;female;6/30/2002;;x;13;Weitsprung;;
Herman;Phillipp;;male;4/13/2000;;x;15;Weitsprung;;
Himmel;Lucas;;male;5/20/1997;x;;18;Hochsprung;;
Strauss;Monika;;female;4/28/2001;;x;14;Weitsprung;;
Werner;Monika;;female;10/21/1998;;x;17;Weitsprung;;
Dresdner;Kristian;;male;03.12.1997;x;;18;Hochsprung;;
Peters;Sarah;;female;5/14/2000;;x;15;Weitsprung;;
Grunewald;Stephan;;male;5/16/2002;;x;13;Weitsprung;;
Hertz;Christine;;female;12.06.2002;;x;13;Weitsprung;;
Hoch;Lisa;;female;12/17/1998;x;;17;Hochsprung;;
Kohl;Peter;;male;10/13/1997;x;;18;Hochsprung;;
Weber;Ulrike;;female;11.03.1999;x;;16;Hochsprung;;
Beike;Johanna;;female;9/26/2001;;x;14;Weitsprung;;
Schuhmacher;Maria;;female;3/21/2000;;x;15;Weitsprung;;
Kruger;Susanne;;female;7/18/1998;;x;17;Weitsprung;;
Baecker;Brigitte;;female;5/13/1997;x;;18;Hochsprung;;
Jaeger;Barbara;;female;8/23/2000;x;;15;Hochsprung;;
Dresdner;Marko;;male;9/26/1999;;x;16;Weitsprung;;
Barth;Kristin;;female;08.11.2001;;x;14;Weitsprung;;
Beckenbauer;Jörg;;male;10/16/1999;;x;16;Weitsprung;;
Schuhmacher;Anja;;female;06.02.2002;;x;13;Weitsprung;;
Muller;Sophie;;female;5/31/1997;;x;18;Weitsprung;;
Werner;Martina;;female;7/13/1999;;x;16;Weitsprung;;
Vogel;Thomas;;male;03.06.2000;;x;16;Weitsprung;;
Bach;Stephan;;male;09.03.2002;;x;13;Weitsprung;;
Weiß;Ulrich;;male;7/25/1999;x;;16;Hochsprung;;
Schuhmacher;Silke;;female;12.08.2001;;x;14;Weitsprung;;
Daecher;Steffen;;male;7/24/2002;;x;13;Weitsprung;;
Weisz;Ralf;;male;06.06.1997;;x;18;Weitsprung;;
Hueber;Marina;;female;7/25/2000;;x;15;Weitsprung;;
Vogler;Karin;;female;07.03.2002;;x;13;Weitsprung;;
Mueller;Niklas;;male;8/18/1999;;x;16;Weitsprung;;
Wolf;Andrea;;female;03.03.2001;;x;15;Weitsprung;;
Bar;Manuela;;female;11/22/2001;;x;14;Weitsprung;;
Krüger;Jan;;male;10/22/1997;;x;18;Weitsprung;;
Oster;Kristian;;male;12/22/1998;x;;17;Hochsprung;;
Müller;Mandy;;female;3/20/1999;;x;16;Weitsprung;;
Wexler;Klaus;;male;11.11.1999;;x;16;Weitsprung;;
Ebersbach;Sandra;;female;12.06.1997;x;;18;Hochsprung;;
Klein;Alexander;;male;11/28/1997;x;;18;Hochsprung;;
Loewe;Maximilian;;male;3/22/1998;x;;17;Hochsprung;;
Eberhardt;Johanna;;female;09.02.2000;x;;15;Hochsprung;;
Fuhrmann;Kristin;;female;10.04.2000;;x;15;Weitsprung;;
Jung;Mario;;male;09.02.2001;;x;14;Weitsprung;;
Baader;Phillipp;;male;08.07.2000;;x;15;Weitsprung;;
Neudorf;Benjamin;;male;5/15/1998;;x;17;Weitsprung;;
Hertz;Sabine;;female;8/25/2001;;x;14;Weitsprung;;
Baier;Ursula;;female;12/24/1999;;x;16;Weitsprung;;
Krause;Brigitte;;female;10/31/1999;;x;16;Weitsprung;;
Hartmann;Juliane;;female;11.03.2000;x;;15;Hochsprung;;
Fiedler;Nadine;;female;02.03.1999;x;;17;Hochsprung;;
Frankfurter;Martin;;male;04.11.2000;x;;15;Hochsprung;;
Pfeifer;Anna;;female;8/20/2001;;x;14;Weitsprung;;
Klein;Jürgen;;male;11/19/2000;;x;15;Weitsprung;;
Fruehauf;Niklas;;male;06.06.2000;;x;15;Weitsprung;;
Dreher;Jörg;;male;05.02.2002;;x;13;Weitsprung;;
Ebersbacher;Thorsten;;male;3/30/1998;;x;17;Weitsprung;;
Aachen;Luca;;male;2/18/1999;;x;17;Weitsprung;;
Weiss;Tom;;male;3/17/1998;;x;17;Weitsprung;;
Koertig;Michael;;male;08.07.2000;x;;15;Hochsprung;;
Koehler;Jan;;male;4/17/1999;;x;16;Weitsprung;;
Schreiner;Ralf;;male;3/22/1998;;x;17;Weitsprung;;
Eichmann;Doreen;;female;10.08.2002;;x;13;Weitsprung;;
Weissmuller;Anke;;female;10/15/1997;;x;18;Weitsprung;;
Frei;Christin;;female;10/27/1998;;x;17;Weitsprung;;
Luft;Bernd;;male;4/21/1998;;x;17;Weitsprung;;
Wechsler;Andrea;;female;9/26/2002;;x;13;Weitsprung;;
Vogt;Dirk;;male;03.04.2001;x;;15;Hochsprung;;
Dreher;Erik;;male;06.03.1997;x;;18;Hochsprung;;
Fink;Marina;;female;12/18/1998;x;;17;Hochsprung;;
Krause;Lena;;female;10.02.2001;;x;14;Weitsprung;;
Lowe;Stephan;;male;4/20/2000;;x;15;Weitsprung;;
Sanger;Markus;;male;09.01.2000;;x;15;Weitsprung;;
Urner;Lukas;;male;9/27/2001;;x;14;Weitsprung;;
Farber;Angelika;;female;04.09.2001;;x;14;Weitsprung;;
Nadel;Anne;;female;01.10.2002;;x;14;Weitsprung;;
Ostermann;Uta;;female;2/16/1998;x;;18;Hochsprung;;
Mauer;Dominik;;male;5/14/2001;;x;14;Weitsprung;;
Becker;Frank;;male;12/31/2001;;x;14;Weitsprung;;
Bauer;Jonas;;male;11/27/2000;x;;15;Hochsprung;;
Peters;Birgit;;female;9/13/1998;x;;17;Hochsprung;;
Schneider;Ralph;;male;10/16/2002;;x;13;Weitsprung;;
Finkel;Stefanie;;female;12.11.1998;;x;17;Weitsprung;;
Schuster;Katja;;female;11/19/2002;;x;13;Weitsprung;;
Meier;Vanessa;;female;3/13/1999;x;;16;Hochsprung;;
Gaertner;Angelika;;female;6/19/1998;x;;17;Hochsprung;;
Papst;Thorsten;;male;5/16/2000;;x;15;Weitsprung;;
Bar;Silke;;female;04.04.1999;;x;16;Weitsprung;;
Metzger;Maik;;male;8/18/2000;;x;15;Weitsprung;;
Weiß;Erik;;male;4/20/1999;x;;16;Hochsprung;;
Schweizer;Marcel;;male;01.05.2000;;x;16;Weitsprung;;
Ostermann;Torsten;;male;6/26/1997;;x;18;Weitsprung;;
Meister;Martin;;male;5/15/1997;x;;18;Hochsprung;;
Eichel;Michelle;;female;01.10.2002;;x;14;Weitsprung;;
Koch;Dennis;;male;7/27/1998;x;;17;Hochsprung;;
Durr;Jens;;male;11/20/1998;;x;17;Weitsprung;;
Schwab;Katja;;female;5/26/1999;;x;16;Weitsprung;;
Krause;Maria;;female;3/18/1999;;x;16;Weitsprung;;
Kortig;Stephanie;;female;12/14/2001;;x;14;Weitsprung;;
Wechsler;Ute;;female;12/28/1997;;x;18;Weitsprung;;
Schuhmacher;Robert;;male;01.08.2001;;x;15;Weitsprung;;
Ebersbach;Petra;;female;09.04.2001;;x;14;Weitsprung;;
Gärtner;Katja;;female;02.04.1999;;x;17;Weitsprung;;
Schultz;Bernd;;male;01.12.2001;;x;15;Weitsprung;;
Kohl;Barbara;;female;03.03.2000;x;;16;Hochsprung;;
Probst;Thomas;;male;9/15/2001;;x;14;Weitsprung;;
Bosch;Matthias;;male;6/18/2000;;x;15;Weitsprung;;
Beich;Martin;;male;11.07.2001;;x;14;Weitsprung;;
Eberhart;Jessica;;female;1/30/2000;x;;16;Hochsprung;;
Holtzmann;Mandy;;female;01.03.1998;;x;18;Weitsprung;;
Richter;Mario;;male;9/14/2000;;x;15;Weitsprung;;
Strauss;Stefan;;male;9/24/1998;x;;17;Hochsprung;;
Kastner;Birgit;;female;11/28/1998;x;;17;Hochsprung;;
Fisher;Sabrina;;female;07.10.2002;;x;13;Weitsprung;;
Friedman;Stefanie;;female;12/17/1999;;x;16;Weitsprung;;
Achen;Dieter;;male;11/28/2000;;x;15;Weitsprung;;
Bürger;Doreen;;female;12.12.1999;x;;16;Hochsprung;;
Peters;Jonas;;male;12/18/2002;;x;13;Weitsprung;;
Bayer;Luca;;male;6/21/2000;x;;15;Hochsprung;;
Oster;Monika;;female;4/30/1999;;x;16;Weitsprung;;
Weisz;René;;male;05.04.2001;;x;14;Weitsprung;;
Pfeffer;Martin;;male;04.07.2002;;x;13;Weitsprung;;
Freud;Ines;;female;2/26/1998;x;;18;Hochsprung;;
Schiffer;Lukas;;male;11/20/1997;;x;18;Weitsprung;;
Lehrer;Klaudia;;female;12.03.1998;x;;17;Hochsprung;;
Fenstermacher;Nicole;;female;09.08.2002;;x;13;Weitsprung;;
Schaefer;Sophia;;female;8/29/1999;;x;16;Weitsprung;;
Bayer;Tobias;;male;09.05.1997;;x;18;Weitsprung;;
Ziegler;Leah;;female;02.12.2001;;x;15;Weitsprung;;
Strauss;Robert;;male;4/17/1999;;x;16;Weitsprung;;
Schroeder;Stefan;;male;05.11.2001;;x;14;Weitsprung;;
Meier;Eric;;male;11/16/2002;;x;13;Weitsprung;;
Krueger;Sabine;;female;05.02.2002;;x;13;Weitsprung;;
Faust;Sophia;;female;6/18/1998;;x;17;Weitsprung;;
Gärtner;Nadine;;female;4/18/2001;;x;14;Weitsprung;;
Kappel;Benjamin;;male;7/27/2002;;x;13;Weitsprung;;
Neudorf;Patrick;;male;5/15/2002;;x;13;Weitsprung;;
Saenger;Karolin;;female;12/23/2002;;x;13;Weitsprung;;
Maier;Jörg;;male;01.07.2002;x;;14;Hochsprung;;
Walter;Stefan;;male;9/23/2001;;x;14;Weitsprung;;
Wagner;Marko;;male;2/24/1998;;x;18;Weitsprung;;
Rothschild;Marco;;male;05.11.1998;;x;17;Weitsprung;;
Diederich;Jessika;;female;08.04.1997;;x;18;Weitsprung;;
Wannemaker;Martin;;male;9/13/1997;x;;18;Hochsprung;;
Schäfer;Martina;;female;4/17/1998;;x;17;Weitsprung;;
Friedman;Torsten;;male;11.09.2001;;x;14;Weitsprung;;
Pfeifer;Sophie;;female;6/14/2001;;x;14;Weitsprung;;
Wagner;Ralph;;male;11.07.1999;;x;16;Weitsprung;;
Schwab;Martin;;male;09.03.2000;;x;15;Weitsprung;;
Drescher;Marco;;male;02.01.2001;;x;15;Weitsprung;;
Krüger;Matthias;;male;3/23/2000;x;;15;Hochsprung;;
Ebersbacher;Gabriele;;female;11.08.1999;x;;16;Hochsprung;;
Himmel;Sarah;;female;4/27/1999;;x;16;Weitsprung;;
Freeh;Thorsten;;male;11.11.1998;x;;17;Hochsprung;;
Bayer;Anja;;female;4/24/2000;;x;15;Weitsprung;;
Kastner;Luca;;male;01.06.1999;;x;17;Weitsprung;;
Fisher;Swen;;male;10/13/2001;;x;14;Weitsprung;;
Maur;Frank;;male;07.05.1997;x;;18;Hochsprung;;
Klug;Niklas;;male;7/25/1998;x;;17;Hochsprung;;
Hoch;Jonas;;male;5/13/1999;x;;16;Hochsprung;;
Drescher;Doreen;;female;12/26/1998;x;;17;Hochsprung;;
Nacht;Maximilian;;male;07.02.2000;x;;15;Hochsprung;;
Eisenhower;Matthias;;male;1/15/2002;;x;14;Weitsprung;;
Huber;Leon;;male;12.10.2002;;x;13;Weitsprung;;
Gottlieb;Leah;;female;2/16/2001;;x;15;Weitsprung;;
Feierabend;Paul;;male;3/13/1997;x;;18;Hochsprung;;
Wannemaker;Lukas;;male;04.06.1998;x;;17;Hochsprung;;
Schneider;Birgit;;female;10/16/1997;;x;18;Weitsprung;;
Schäfer;Sandra;;female;2/19/2001;;x;15;Weitsprung;;
Fuchs;Ulrike;;female;06.08.1999;;x;16;Weitsprung;;
Zimmermann;Lena;;female;7/29/2000;;x;15;Weitsprung;;
Kalb;Maximilian;;male;08.05.2002;;x;13;Weitsprung;;
Pfeffer;Mario;;male;6/15/2000;x;;15;Hochsprung;;
Koch;Christine;;female;12/20/1998;x;;17;Hochsprung;;
Kaestner;Stephan;;male;6/20/1999;;x;16;Weitsprung;;
Kuster;Klaus;;male;05.12.1999;x;;16;Hochsprung;;
Roth;Mathias;;male;8/13/1999;;x;16;Weitsprung;;
Wagner;Heike;;female;10.01.2000;x;;15;Hochsprung;;
Saenger;Mario;;male;05.11.1997;x;;18;Hochsprung;;
Goldschmidt;Franziska;;female;12/19/2001;;x;14;Weitsprung;;
Bayer;Nicole;;female;04.01.2000;;x;15;Weitsprung;;
Faber;Marie;;female;12/18/1997;x;;18;Hochsprung;;
Neudorf;Juliane;;female;11.01.2000;;x;15;Weitsprung;;
Wannemaker;René;;male;3/19/2000;x;;15;Hochsprung;;
Fruehauf;Klaus;;male;07.05.1997;;x;18;Weitsprung;;
Hartmann;Jennifer;;female;06.11.2000;;x;15;Weitsprung;;
Eichelberger;Johanna;;female;11/26/1998;;x;17;Weitsprung;;
Maur;Birgit;;female;03.02.1998;;x;18;Weitsprung;;
Baecker;Felix;;male;07.03.2002;;x;13;Weitsprung;;
Bauer;Juliane;;female;3/19/1997;;x;18;Weitsprung;;
Schmid;Tom;;male;6/16/2000;x;;15;Hochsprung;;
Junker;Marcel;;male;05.06.2001;;x;14;Weitsprung;;
Kuhn;Christina;;female;12/18/1998;x;;17;Hochsprung;;
Reinhard;Frank;;male;6/17/2001;;x;14;Weitsprung;;
Theissen;Jessika;;female;7/23/2001;;x;14;Weitsprung;;
Brauer;Jonas;;male;8/18/1997;;x;18;Weitsprung;;
Muller;Daniela;;female;09.05.2002;;x;13;Weitsprung;;
Grunewald;Laura;;female;4/14/1998;;x;17;Weitsprung;;
Egger;Dennis;;male;09.05.1997;;x;18;Weitsprung;;
Neudorf;Patrick;;male;4/22/2000;;x;15;Weitsprung;;
Pfaff;Jan;;male;6/29/2002;;x;13;Weitsprung;;
Mauer;Manuela;;female;04.12.1997;x;;18;Hochsprung;;
Loewe;Tanja;;female;5/18/2001;;x;14;Weitsprung;;
Duerr;Benjamin;;male;5/21/2000;x;;15;Hochsprung;;
Herzog;Stephan;;male;8/29/1998;x;;17;Hochsprung;;
Hirsch;Niklas;;male;11/15/1999;x;;16;Hochsprung;;
Müller;Franziska;;female;12.07.1997;x;;18;Hochsprung;;
Hahn;Wolfgang;;male;10.12.2000;;x;15;Weitsprung;;
Weissmuller;Uwe;;male;10/14/2002;;x;13;Weitsprung;;
Holtzmann;Leon;;male;5/19/2000;;x;15;Weitsprung;;
Maier;Mario;;male;08.06.1998;x;;17;Hochsprung;;
Hueber;Janina;;female;9/17/2001;;x;14;Weitsprung;;
Biermann;Ursula;;female;12.09.1999;x;;16;Hochsprung;;
Wagner;Ines;;female;2/25/1998;;x;18;Weitsprung;;
Keller;Ralph;;male;04.09.2000;;x;15;Weitsprung;;
Theiss;Dieter;;male;09.01.2001;;x;14;Weitsprung;;
Propst;Sarah;;female;1/15/2001;x;;15;Hochsprung;;
Ackermann;Bernd;;male;05.03.1999;;x;16;Weitsprung;;
Decker;Lukas;;male;10/25/2001;x;;14;Hochsprung;;
Propst;Ralf;;male;3/19/1997;x;;18;Hochsprung;;
Lang;Franziska;;female;7/21/1999;x;;16;Hochsprung;;
Shuster;Mike;;male;04.08.2001;;x;14;Weitsprung;;
Schmid;Katrin;;female;10/14/2002;;x;13;Weitsprung;;
Fuerst;Klaus;;male;12/14/1998;x;;17;Hochsprung;;
Frey;Anne;;female;10.01.1997;;x;18;Weitsprung;;
Freitag;Leah;;female;7/14/1998;x;;17;Hochsprung;;
Zweig;Niklas;;male;01.06.2000;;x;16;Weitsprung;;
Hofmann;Jürgen;;male;2/13/2000;x;;16;Hochsprung;;
Osterhagen;Susanne;;female;5/16/1999;x;;16;Hochsprung;;
Naumann;Christian;;male;12/27/1999;;x;16;Weitsprung;;
Ostermann;Anke;;female;12.06.1999;;x;16;Weitsprung;;
Freitag;Ute;;female;12/15/1999;;x;16;Weitsprung;;
Cole;Ralph;;male;5/24/1999;;x;16;Weitsprung;;
Wagner;Jan;;male;11/17/1998;;x;17;Weitsprung;;
Jaeger;Heike;;female;1/27/2003;;x;13;Weitsprung;;
Fassbinder;Claudia;;female;9/17/2000;;x;15;Weitsprung;;
Wirth;Jennifer;;female;03.04.2003;;x;13;Weitsprung;;
Frey;Ute;;female;10.11.1997;;x;18;Weitsprung;;
Durr;Marina;;female;1/16/2003;;x;13;Weitsprung;;
Fruehauf;Lena;;female;10/13/2002;;x;13;Weitsprung;;
Abt;Lucas;;male;6/21/1999;x;;16;Hochsprung;;
Bauer;Jürgen;;male;08.04.1998;x;;17;Hochsprung;;
Hofmann;Anna;;female;5/24/1999;;x;16;Weitsprung;;
Köhler;Doreen;;female;07.02.2000;x;;15;Hochsprung;;
Gärtner;Katrin;;female;3/31/1998;x;;17;Hochsprung;;
Meister;Tobias;;male;08.08.2000;x;;15;Hochsprung;;
Freud;Susanne;;female;07.04.1997;x;;18;Hochsprung;;
Engel;Florian;;male;05.02.2000;;x;15;Weitsprung;;
Nacht;Mathias;;male;08.09.1998;x;;17;Hochsprung;;
